Player,Pos,Squad,Age,Min,,,,
Damian Michalski,DF,Greuther Fürth,25.02465753,1870,25,466,1.276712329,26.27671233
Oualid Mhamdi,DF,Greuther Fürth,20.01643836,108,20,644,1.764383562,21.76438356
Marco Meyerhöfer,MF,Greuther Fürth,27.51780822,792,27,781,2.139726027,29.13972603
Karol Mets,DF,St. Pauli,30.02739726,1440,30,274,0.750684932,30.75068493
Connor Metcalfe,FW,St. Pauli,23.55342466,1172,23,342,0.936986301,23.9369863
Thomas Meißner,DF,Hansa Rostock,32.16712329,371,32,712,1.950684932,33.95068493
Marvin Mehlem,MF,Darmstadt 98,25.70410959,2585,25,411,1.126027397,26.1260274
Marcel Mehlem,DF,Paderborn 07,28.23561644,169,28,562,1.539726027,29.53972603
Marcel Mehlem,MF,Sandhausen,28.23561644,335,28,562,1.539726027,29.53972603
Omar Megeed,MF,Hamburger SV,17.76712329,2,17,712,1.950684932,18.95068493
Jonas Meffert,MF,Hamburger SV,28.72328767,2711,28,329,0.901369863,28.90136986
Joshua Mees,MF,Jahn R'burg,27.11232877,1179,27,233,0.638356164,27.63835616
Nathan de Medina,DF,Braunschweig,25.63013699,1476,25,014,0.038356164,25.03835616
Nathan de Medina,DF,Arminia,25.63013699,12,25,014,0.038356164,25.03835616
Jakov Medić,DF,St. Pauli,24.71506849,2497,24,507,1.389041096,25.3890411
Maurides,FW,St. Pauli,29.2109589,143,29,096,0.263013699,29.2630137
Christian Mathenia,GK,Nürnberg,31.15342466,1530,31,342,0.936986301,31.9369863
Igor Matanovic,FW,St. Pauli,20.15342466,597,20,342,0.936986301,20.9369863
Jan-Hendrik Marx,MF,Braunschweig,28.08219178,1524,28,219,0.6,28.6
Braydon Manu,FW,Darmstadt 98,26.16164384,1889,26,164,0.449315068,26.44931507
Marcel Mansfeld,FW,Düsseldorf,21.92328767,28,21,329,0.901369863,21.90136986
Lennard Maloney,MF,Heidenheim,23.63013699,2575,23,014,0.038356164,23.03835616
Ryan Malone,DF,Hansa Rostock,30.7890411,2237,30,904,2.476712329,32.47671233
Haralambos Makridis,MF,Jahn R'burg,26.89041096,1372,26,041,0.112328767,26.11232877
Patrick Mainka,DF,Heidenheim,28.55068493,2962,28,069,0.189041096,28.1890411
Andreas Luthe,GK,Kaiserslautern,36.2109589,2650,36,096,0.263013699,36.2630137
Yannik Lührs,DF,Hannover 96,19.70958904,355,19,959,2.62739726,21.62739726
Anderson Lucoqui,DF,Hansa Rostock,25.88767123,687,25,767,2.101369863,27.10136986
Jan Luca Schuler,FW,Magdeburg,24.17808219,598,24,808,2.21369863,26.21369863
Simon Lorenz,DF,Holstein Kiel,26.15616438,1915,26,616,1.687671233,27.68767123
Felix Lohkemper,MF,Nürnberg,28.32876712,899,28,877,2.402739726,30.40273973
Lex Lobinger,FW,Kaiserslautern,24.39726027,587,24,726,1.989041096,25.9890411
Andreas Linde,GK,Greuther Fürth,29.83835616,2565,29,836,2.290410959,31.29041096
Ivan Lepinjica,MF,Arminia,23.87945205,1323,23,945,2.589041096,25.5890411
Enzo Leopold,MF,Hannover 96,22.84109589,912,22,411,1.126027397,23.1260274
Andre Leipold,FW,Darmstadt 98,21.53424658,13,21,425,1.164383562,22.16438356
Robert Leipertz,MF,Paderborn 07,30.31232877,1814,30,233,0.638356164,30.63835616
Tim Leibold,DF,Hamburger SV,29.48493151,126,29,493,1.350684932,30.35068493
Jamie Lawrence,DF,Magdeburg,20.53972603,1206,20,973,2.665753425,22.66575342
James Lawrence,DF,Nürnberg,30.75890411,1521,30,589,1.61369863,31.61369863
Lion Lauberbach,FW,Braunschweig,25.2739726,1759,25,397,1.087671233,26.08767123
Bryan Lasme,FW,Arminia,24.52876712,1499,24,877,2.402739726,26.40273973
Choi Kyoung-rok,MF,Karlsruher,28.19726027,614,28,726,1.989041096,29.9890411
Moritz-Broni Kwarteng,MF,Magdeburg,25.07671233,2140,25,671,1.838356164,26.83835616
Ahmed Kutucu,FW,Sandhausen,23.23561644,640,23,562,1.539726027,24.53972603
Hasan Kuruçay,DF,Braunschweig,25.73424658,1138,25,425,1.164383562,26.16438356
Fabian Kunze,MF,Hannover 96,24.94794521,2368,24,795,2.178082192,26.17808219
Christian Kühlwetter,MF,Heidenheim,27.09589041,581,27,589,1.61369863,28.61369863
Florian Krüger,FW,Arminia,24.27945205,123,24,945,2.589041096,26.5890411
Connor Krempicki,MF,Magdeburg,28.69589041,1573,28,589,1.61369863,29.61369863
Robin Krauße,MF,Braunschweig,29.14794521,1791,29,795,2.178082192,31.17808219
Kevin Kraus,DF,Kaiserslautern,30.78630137,2151,30,863,2.364383562,32.36438356
